0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:27:59 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:27:59 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:27:59 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:28:42 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:29:13 +0900] "GET /webPro/javascript/days05/ex06.html HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:33:20 +0900] "GET /webPro/javascript/days05/ex06_02.html HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:34:18 +0900] "GET /webPro/javascript/days05/ex06_02.html HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:35:05 +0900] "GET /webPro/javascript/days05/ex06_02.html HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:35:05 +0900] "GET /webPro/javascript/days05/ex06_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2024:16:35:06 +0900] "GET /webPro/javascript/days05/ex06_02.html HTTP/1.1" 304 -
